location,time,pm10 (μg/m³),pm2_5 (μg/m³),carbon_monoxide (μg/m³),nitrogen_dioxide (μg/m³),sulphur_dioxide (μg/m³),ozone (μg/m³)
Chennai,2022-09-01,16.975595238095227,11.324880952380946,260.9607142857141,14.001309523809516,24.433571428571412,27.36785714285713
Chennai,2022-09-02,23.90083333333332,14.851785714285706,216.4999999999999,15.180238095238087,16.973690476190466,49.50714285714283
Chennai,2022-09-03,45.784999999999975,29.62571428571427,266.5380952380951,21.304642857142845,22.163333333333323,82.38690476190472
Chennai,2022-09-04,42.779047619047596,28.211428571428556,294.49880952380937,21.417738095238082,22.800396825396813,92.98690476190471
Chennai,2022-09-05,37.71571428571426,24.764285714285702,272.7630952380951,21.51392857142856,24.431746031746016,86.97380952380946
Chennai,2022-09-06,43.401428571428546,28.793452380952363,309.2702380952379,20.781111111111098,24.539365079365066,85.59999999999995
Chennai,2022-09-07,45.00749999999997,31.33666666666665,363.97103174603154,21.022261904761894,23.699563492063476,56.39285714285711
Chennai,2022-09-08,32.128333333333316,22.34999999999999,324.23214285714266,17.840039682539672,24.691230158730146,33.552380952380936
Chennai,2022-09-09,36.20619047619045,24.967619047619035,359.0869047619046,21.9286111111111,24.047579365079354,50.52976190476188
Chennai,2022-09-10,31.76857142857141,21.47940476190475,329.28333333333313,17.410555555555543,25.571190476190463,43.45595238095236
Chennai,2022-09-11,32.18107142857141,21.064047619047606,305.06111111111096,18.815158730158718,24.40940476190475,42.80238095238093
Chennai,2022-09-12,37.182857142857124,23.711666666666655,271.2226190476189,21.088531746031734,22.947063492063478,61.50595238095235
Chennai,2022-09-13,38.0763095238095,23.769761904761893,244.2190476190475,18.340753968253956,21.882777777777765,77.07142857142853
Chennai,2022-09-14,43.68869047619045,27.896428571428554,284.87738095238075,19.438253968253957,25.015119047619034,72.64404761904758
Chennai,2022-09-15,56.437619047619016,36.39071428571427,332.8325396825395,21.433968253968242,22.75035714285713,76.90119047619044
Chennai,2022-09-16,60.62214285714282,39.50273809523807,323.417857142857,19.685476190476177,22.969523809523796,93.40833333333329
Chennai,2022-09-17,60.70857142857139,39.954523809523785,335.4571428571426,20.097738095238082,23.112460317460304,82.64523809523804
Chennai,2022-09-18,51.191785714285686,34.002499999999976,316.12023809523794,18.482261904761895,23.824960317460306,78.65476190476186
Chennai,2022-09-19,45.817976190476166,30.100833333333316,320.3166666666665,18.356507936507928,25.743253968253953,48.24999999999997
Chennai,2022-09-20,49.00583333333331,30.97369047619046,303.3182539682538,17.909920634920624,26.77202380952379,53.82499999999997
Chennai,2022-09-21,39.7613095238095,24.602619047619033,303.89404761904746,19.353373015873004,23.103412698412683,78.99523809523805
Chennai,2022-09-22,50.13559523809521,31.475714285714265,338.35714285714266,18.263849206349196,28.018333333333317,83.43452380952375
Chennai,2022-09-23,44.754999999999974,28.335595238095223,317.90833333333313,21.112499999999986,26.279285714285695,88.7273809523809
Chennai,2022-09-24,30.6090476190476,19.222976190476178,251.86666666666653,17.72015873015872,19.8226984126984,65.19285714285711
Chennai,2022-09-25,40.11821428571427,25.801428571428556,316.6630952380951,19.42249999999999,23.89956349206348,88.07857142857138
Chennai,2022-09-26,36.00571428571427,24.023095238095223,270.11785714285696,18.886190476190468,22.20031746031745,80.2928571428571
Chennai,2022-09-27,39.01869047619045,25.314642857142843,253.9285714285713,18.854285714285705,26.273253968253954,101.59761904761899
Chennai,2022-09-28,43.503095238095206,29.538809523809505,330.1162698412696,20.90976190476189,24.134206349206334,100.43452380952375
Chennai,2022-09-29,46.57238095238093,31.83071428571427,348.35396825396805,21.130873015873004,23.7776984126984,86.60714285714282
Chennai,2022-09-30,33.41749999999998,23.12535714285713,336.0777777777776,17.077261904761894,25.614047619047607,36.557142857142836
Chennai,2022-10-01,28.738809523809508,20.068690476190465,318.40198412698396,17.612420634920625,24.527658730158716,39.75833333333331
Chennai,2022-10-02,41.014047619047595,28.43571428571427,336.6309523809522,18.297380952380944,23.114801587301574,47.25714285714283
Chennai,2022-10-03,58.07162698412696,38.51519841269839,348.28611111111087,19.546785714285704,26.995952380952364,44.80238095238093
Chennai,2022-10-04,58.98682539682536,40.253253968253944,366.6373015873014,20.706388888888878,24.722023809523794,41.22261904761903
Chennai,2022-10-05,59.1958333333333,40.709047619047595,365.6658730158728,14.697380952380945,21.534603174603163,49.36428571428568
